Strain Name	Virus Species	GenBank Accession	Sequence Length	Pango Genome Lineage	Collection Date	Host	GenBank Host	Country	Mol Type
genotype 3	Paslahepevirus balayani	AB443625	7210	-N/A-	2002	Unknown	-N/A-	Japan	genomic RNA
genotype 3	Paslahepevirus balayani	AB443626	7210	-N/A-	2002	Unknown	-N/A-	Japan	genomic RNA
genotype 3	Paslahepevirus balayani	AB443627	7210	-N/A-	2002	Unknown	-N/A-	Japan	genomic RNA
CCC220	Paslahepevirus balayani	AB108537	7193	-N/A-	-N/A-	Unknown	-N/A-	China	genomic RNA
kestrel/MR22/2014/HUN	Paslahepevirus balayani	KU670940	7033	-N/A-	Jun-14	Common Kestrel	Falco tinnunculus	Hungary	genomic RNA
E087-SAP04C	Paslahepevirus balayani	AB369688	7227	-N/A-	2004	Unknown	-N/A-	Japan	genomic RNA
E116-YKH98C	Paslahepevirus balayani	AB369687	7217	-N/A-	1998	Unknown	-N/A-	Japan	genomic RNA
E088-STM04C	Paslahepevirus balayani	AB369689	7215	-N/A-	2004	Unknown	-N/A-	Japan	genomic RNA
E067-SIJ05C	Paslahepevirus balayani	AB369690	7236	-N/A-	2005	Unknown	-N/A-	Japan	genomic RNA
E097-OSA05C	Paslahepevirus balayani	AB369691	7216	-N/A-	2005	Unknown	-N/A-	Japan	genomic RNA
JE03-1760F_p5/B	Paslahepevirus balayani	AB425831	7246	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
JSN-Sap-FH	Paslahepevirus balayani	AB091395	7234	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JA1	Paslahepevirus balayani	AB097812	7258	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JK4	Paslahepevirus balayani	AB099347	7250	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JF5/15F_p6	Paslahepevirus balayani	AB480825	7270	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
JAK-Sai	Paslahepevirus balayani	AB074915	7236	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
CHN-SX-rHEV	Paslahepevirus balayani	KX227751	7302	-N/A-	7/21/2015	Rabbit	rabbit	China	genomic RNA
JMY-Haw	Paslahepevirus balayani	AB074920	7240	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JA41	Paslahepevirus balayani	AB220979	7265	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JYI-ChiSai01C	Paslahepevirus balayani	AB197674	7260	-N/A-	-N/A-	Human	Homo sapiens	China	genomic RNA
JE03-1760F	Paslahepevirus balayani	AB301710	7246	-N/A-	2003	Unknown	-N/A-	Japan	genomic RNA
JSN-Sap-FH02C	Paslahepevirus balayani	AB200239	7251	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HRC-HE104	Paslahepevirus balayani	AB630970	7256	-N/A-	Oct-07	Human	Homo sapiens	Japan	genomic RNA
2017-73347	Paslahepevirus balayani	MG737712	6788	-N/A-	Nov-17	Sparrow	sparrow	USA	genomic RNA
G1 HEV p21	Paslahepevirus balayani	LC061267	7224	-N/A-	8/18/2010	Unknown	-N/A-	India	genomic RNA
HEV-4351	Paslahepevirus balayani	AB890001	6852	-N/A-	5/28/2013	Ferret	Mustela putorius furo	Japan	genomic RNA
little egret/kocsag02/2014/HUN	Paslahepevirus balayani	KX589065	6660	-N/A-	Jun-14	Egret	Egretta garzetta (little egret)	Hungary	genomic RNA
62XJ	Paslahepevirus balayani	KX387867	7212	-N/A-	-N/A-	Camel	Camelus bactrianus	China	genomic RNA
48XJ	Paslahepevirus balayani	KX387866	7223	-N/A-	-N/A-	Camel	Camelus bactrianus	China	genomic RNA
TLS-C	Paslahepevirus balayani	KU176130	7205	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
TLS-B	Paslahepevirus balayani	KU176129	7211	-N/A-	2011	Human	Homo sapiens	France	genomic RNA
Yunnan-2013	Paslahepevirus balayani	KR905549	6609	-N/A-	5/5/2012	Shrew	tree shrew	China	genomic RNA
KOR-Rb-1	Paslahepevirus balayani	KY496200	7300	-N/A-	2/1/2015	Rabbit	rabbit	South Korea	genomic RNA
CCJD-517	Paslahepevirus balayani	KX981911	7319	-N/A-	5/17/2015	Swine	swine	China	genomic RNA
F63	Paslahepevirus balayani	LC177792	6829	-N/A-	5/12/2016	Ferret	Mustela putorius furo	USA	genomic RNA
F60	Paslahepevirus balayani	LC177790	6831	-N/A-	5/12/2016	Ferret	Mustela putorius furo	USA	genomic RNA
F45	Paslahepevirus balayani	LC177788	6826	-N/A-	5/12/2016	Ferret	Mustela putorius furo	USA	genomic RNA
HB-S3	Paslahepevirus balayani	KX531115	7252	-N/A-	10/28/2014	Swine	swine	China	genomic RNA
CH_17LA00702	Paslahepevirus balayani	MF346773	7244	-N/A-	-N/A-	Unknown	-N/A-	Switzerland	genomic RNA
SW46_8-Dalarna	Paslahepevirus balayani	KT581447	7186	-N/A-	-N/A-	Swine	swine	Sweden	genomic RNA
WB69-Kronoberg	Paslahepevirus balayani	KT581445	7227	-N/A-	-N/A-	Boar	wild boar	Sweden	genomic RNA
TH-hu-F45-1	Paslahepevirus balayani	KY232313	7235	-N/A-	5/23/2014	Human	Homo sapiens	Thailand	genomic RNA
JEO-Gif14	Paslahepevirus balayani	LC164712	7306	-N/A-	11/7/2014	Human	Homo sapiens	Japan	genomic RNA
HEV1_ILBS	Paslahepevirus balayani	KY436505	7195	-N/A-	Feb-16	Human	Homo sapiens	India	genomic RNA
7	Paslahepevirus balayani	KY929403	7264	-N/A-	3/9/2017	Human	Homo sapiens	China	genomic RNA
HEV/13RS985-5	Paslahepevirus balayani	MG674164	7130	-N/A-	2013	Swine	swine	Italy	genomic RNA
hGER15-0030	Paslahepevirus balayani	KX172133	7237	-N/A-	2015	Human	Homo sapiens	Germany	genomic RNA
rabbit/R42/GER/2013	Paslahepevirus balayani	MF480297	7302	-N/A-	2013	Rabbit	Oryctolagus cuniculus	Germany	genomic RNA
Kol16	Paslahepevirus balayani	MH074880	7208	-N/A-	-N/A-	Unknown	-N/A-	India	genomic RNA
MXCDg3_B1_2016	Paslahepevirus balayani	MG833836	7251	-N/A-	2016	Swine	domestic swine	Mexico	genomic RNA
WB/HEV/NA21ITA15	Paslahepevirus balayani	MF959765	7229	-N/A-	2015	Boar	wild boar	Italy	genomic RNA
JSF-Tot03C	Paslahepevirus balayani	AB193176	7251	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JYN-Sap01C	Paslahepevirus balayani	AB193177	7256	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
JYN-Nii02L	Paslahepevirus balayani	AB193178	7154	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
DLS13-11681	Paslahepevirus balayani	MG783570	7239	-N/A-	2012	Unknown	-N/A-	France	genomic RNA
HEV_006_1	Paslahepevirus balayani	MH184579	7187	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
HEV_022	Paslahepevirus balayani	MH184581	7327	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
HEV_493	Paslahepevirus balayani	MH184583	7160	-N/A-	2013	Swine	swine	United Kingdom	genomic RNA
SW63-BD81	Paslahepevirus balayani	MH377722	7287	-N/A-	2011	Human	Homo sapiens	Sweden	genomic RNA
SW2-BD75	Paslahepevirus balayani	MH377724	7291	-N/A-	2010	Human	Homo sapiens	Germany	genomic RNA
SW22-BD84	Paslahepevirus balayani	MH377725	7288	-N/A-	2012	Human	Homo sapiens	Sweden	genomic RNA
SW65-2916	Paslahepevirus balayani	MH377727	7288	-N/A-	2013	Human	Homo sapiens	Sweden	genomic RNA
NG/17-0500	Paslahepevirus balayani	MH809516	7214	-N/A-	2017	Human	Homo sapiens	Nigeria	genomic RNA
HEPAC-90	Paslahepevirus balayani	MF444053	7142	-N/A-	3/10/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-68	Paslahepevirus balayani	MF444056	7178	-N/A-	6/17/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-18	Paslahepevirus balayani	MF444058	7432	-N/A-	6/5/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-39	Paslahepevirus balayani	MF444064	7162	-N/A-	3/12/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-72	Paslahepevirus balayani	MF444066	7278	-N/A-	1/18/2006	Human	Homo sapiens	France	genomic RNA
HEPAC-23	Paslahepevirus balayani	MF444068	7278	-N/A-	6/6/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-146	Paslahepevirus balayani	MF444070	7259	-N/A-	12/8/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-168	Paslahepevirus balayani	MF444072	7233	-N/A-	9/3/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-40	Paslahepevirus balayani	MF444075	7211	-N/A-	3/13/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-109	Paslahepevirus balayani	MF444077	7235	-N/A-	12/29/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-87	Paslahepevirus balayani	MF444079	7215	-N/A-	4/7/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-114	Paslahepevirus balayani	MF444081	7257	-N/A-	7/29/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-74	Paslahepevirus balayani	MF444084	7266	-N/A-	10/2/2012	Human	Homo sapiens	France	genomic RNA
HEPAC-25	Paslahepevirus balayani	MF444087	7296	-N/A-	7/31/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-26	Paslahepevirus balayani	MF444089	7171	-N/A-	3/26/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-61	Paslahepevirus balayani	MF444091	7209	-N/A-	5/19/2012	Human	Homo sapiens	France	genomic RNA
HEPAC-177	Paslahepevirus balayani	MF444094	7294	-N/A-	3/15/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-17	Paslahepevirus balayani	MF444096	7307	-N/A-	5/24/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-33	Paslahepevirus balayani	MF444098	7280	-N/A-	5/13/2014	Human	Homo sapiens	France	genomic RNA
HE-JF3	Paslahepevirus balayani	AB220971	7262	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JF4	Paslahepevirus balayani	AB220972	7271	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HEPAC-155	Paslahepevirus balayani	MF444128	7230	-N/A-	5/30/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-35	Paslahepevirus balayani	MF444131	7166	-N/A-	1/9/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-181	Paslahepevirus balayani	MF444133	7273	-N/A-	7/7/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-38	Paslahepevirus balayani	MF444135	7211	-N/A-	11/6/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-152	Paslahepevirus balayani	MF444138	7328	-N/A-	4/16/2007	Human	Homo sapiens	France	genomic RNA
HEPAC-158	Paslahepevirus balayani	MF444140	7287	-N/A-	4/13/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-93	Paslahepevirus balayani	MF444142	7262	-N/A-	4/4/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-151	Paslahepevirus balayani	MF444039	7253	-N/A-	1/10/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-97	Paslahepevirus balayani	MF444042	7219	-N/A-	12/28/2011	Human	Homo sapiens	France	genomic RNA
HEPAC-63	Paslahepevirus balayani	MF444046	7177	-N/A-	6/8/2009	Human	Homo sapiens	France	genomic RNA
HEPAC-3	Paslahepevirus balayani	MF444048	7288	-N/A-	6/4/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-94	Paslahepevirus balayani	MF444050	7316	-N/A-	6/20/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-89	Paslahepevirus balayani	MF444099	7255	-N/A-	12/2/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-58	Paslahepevirus balayani	MF444101	7211	-N/A-	11/20/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-14	Paslahepevirus balayani	MF444103	7275	-N/A-	11/27/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-32	Paslahepevirus balayani	MF444105	7308	-N/A-	7/26/2013	Human	Homo sapiens	France	genomic RNA
HEPAC-37	Paslahepevirus balayani	MF444108	7283	-N/A-	9/5/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-111	Paslahepevirus balayani	MF444110	7242	-N/A-	3/19/2014	Human	Homo sapiens	France	genomic RNA
HEPAC-171	Paslahepevirus balayani	MF444112	7305	-N/A-	9/26/2015	Human	Homo sapiens	France	genomic RNA
XTLSEJO1	Paslahepevirus balayani	MF444027	7320	-N/A-	2012	Human	Homo sapiens	France	genomic RNA
XTLSECOE	Paslahepevirus balayani	MF444029	7227	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
HEPAC-186	Paslahepevirus balayani	MF444034	7365	-N/A-	9/27/2012	Human	Homo sapiens	France	genomic RNA
HEPAC-41	Paslahepevirus balayani	MF444036	7277	-N/A-	3/18/2015	Human	Homo sapiens	France	genomic RNA
HEPAC-96	Paslahepevirus balayani	MF444114	7148	-N/A-	12/9/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-157	Paslahepevirus balayani	MF444116	7175	-N/A-	5/11/2016	Human	Homo sapiens	France	genomic RNA
HEPAC-51	Paslahepevirus balayani	MF444124	7298	-N/A-	10/30/2006	Human	Homo sapiens	France	genomic RNA
Xinjiang	Paslahepevirus balayani	NC_001434*	7176	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
M1	Paslahepevirus balayani	MH410175	7239	-N/A-	2017	Macaque	Macaca fascicularis	China	genomic RNA
17RS1920	Paslahepevirus balayani	MK390971	7210	-N/A-	5/18/2017	Boar	wild boar	Italy	genomic RNA
HEV_29_Southampton_UK_021214	Paslahepevirus balayani	MH504135	7237	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_27_Poole_UK_111114	Paslahepevirus balayani	MH504137	7237	-N/A-	Nov-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_24_Nottingham_UK_181214	Paslahepevirus balayani	MH504140	7241	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_22_Manchester_UK_061114	Paslahepevirus balayani	MH504142	7235	-N/A-	Nov-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_20_Swansea_UK_241014	Paslahepevirus balayani	MH504144	7236	-N/A-	Oct-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_19_Surrey_UK_180814	Paslahepevirus balayani	MH504145	7241	-N/A-	Aug-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_17_Leeds_UK_170914	Paslahepevirus balayani	MH504147	7217	-N/A-	Sep-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_15_London_UK_090914	Paslahepevirus balayani	MH504149	7226	-N/A-	Sep-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_12_Belfast_UK_300714	Paslahepevirus balayani	MH504152	7235	-N/A-	Jul-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_10_Hillingdon_UK_020315	Paslahepevirus balayani	MH504154	7197	-N/A-	Mar-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_8_London_UK_011014	Paslahepevirus balayani	MH504156	7189	-N/A-	Oct-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_6_Oldham_UK_150614	Paslahepevirus balayani	MH504158	7197	-N/A-	Jun-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_4_Surrey_UK_NA	Paslahepevirus balayani	MH504160	7185	-N/A-	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_2_Aylesbury_UK_240314	Paslahepevirus balayani	MH504162	7210	-N/A-	Mar-14	Human	Homo sapiens	United Kingdom	genomic RNA
HE-JA2	Paslahepevirus balayani	AB220974	7268	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JA19	Paslahepevirus balayani	AB220975	7262	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JA28	Paslahepevirus balayani	AB220976	7266	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HE-JA36	Paslahepevirus balayani	AB220977	7266	-N/A-	-N/A-	Human	Homo sapiens	Japan	genomic RNA
HEV_39_Aylesbury_UK_080115	Paslahepevirus balayani	MH504125	7229	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_37_Gloucester_UK_080115	Paslahepevirus balayani	MH504127	7221	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_35_Poole_UK_050115	Paslahepevirus balayani	MH504129	7237	-N/A-	Jan-15	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_33_Newcastle_UK_NA	Paslahepevirus balayani	MH504131	7231	-N/A-	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_32_Manchester_301214	Paslahepevirus balayani	MH504132	7215	-N/A-	Dec-14	Human	Homo sapiens	United Kingdom	genomic RNA
HEV_30_London_UK_NA	Paslahepevirus balayani	MH504134	7237	-N/A-	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA
BDHEVF034	Paslahepevirus balayani	MH991994	7202	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM079	Paslahepevirus balayani	MH991996	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM125	Paslahepevirus balayani	MH991998	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM188	Paslahepevirus balayani	MH992000	7214	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM085	Paslahepevirus balayani	MH992003	7215	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM127	Paslahepevirus balayani	MH992005	7215	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVF120	Paslahepevirus balayani	MH992007	7216	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVF151	Paslahepevirus balayani	MH992009	7216	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM112	Paslahepevirus balayani	MH992011	7217	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
BDHEVM082	Paslahepevirus balayani	MH992013	7221	-N/A-	-N/A-	Human	Homo sapiens	Bangladesh	genomic RNA
hare/AT/GER/2008	Paslahepevirus balayani	MK050463	7186	-N/A-	2008	Hare	Lepus europaeus (European brown hare)	Germany	genomic RNA
15-22016	Paslahepevirus balayani	MK089847	7256	-N/A-	2015	Human	Homo sapiens	Germany	genomic RNA
14-16753	Paslahepevirus balayani	MK089849	7251	-N/A-	2014	Human	Homo sapiens	Germany	genomic RNA
HEPAC-6	Paslahepevirus balayani	MF444145	7322	-N/A-	1/1/2015	Human	Homo sapiens	France	genomic RNA
HEVBK001	Paslahepevirus balayani	MH450020	7227	-N/A-	9/3/2015	Human	Homo sapiens	Thailand	genomic RNA
HEVCU644	Paslahepevirus balayani	MH450022	7270	-N/A-	2/14/2018	Human	Homo sapiens	Thailand	genomic RNA
HEVF371	Paslahepevirus balayani	MH450024	7212	-N/A-	6/2/2015	Swine	Swine	Thailand	genomic RNA
HEVF387	Paslahepevirus balayani	MH450026	7207	-N/A-	6/5/2015	Swine	Swine	Thailand	genomic RNA
SWU/D18/2018	Paslahepevirus balayani	MK410044	7214	-N/A-	Mar-18	Swine	Tibetan pigs	China	genomic RNA
SWU/31-12/2018	Paslahepevirus balayani	MK410046	7208	-N/A-	Apr-18	Swine	Tibetan pigs	China	genomic RNA
SWU/42-5/2018	Paslahepevirus balayani	MK410048	7205	-N/A-	May-18	Swine	Tibetan pigs	China	genomic RNA
SWU/L9/2018	Paslahepevirus balayani	MK410050	7246	-N/A-	Dec-18	Swine	Tibetan pigs	China	genomic RNA
SWU/7-180/2018	Paslahepevirus balayani	MK410052	7245	-N/A-	Aug-18	Swine	Tibetan pigs	China	genomic RNA
HEVGB16	Paslahepevirus balayani	MH450027	7215	-N/A-	2/1/2015	Swine	Swine	Thailand	genomic RNA
HEVGB31	Paslahepevirus balayani	MH450028	7215	-N/A-	2/1/2015	Swine	Swine	Thailand	genomic RNA
HEVGB166	Paslahepevirus balayani	MH450031	7215	-N/A-	3/1/2015	Swine	Swine	Thailand	genomic RNA
Ch-JLLJ-hwb18	Paslahepevirus balayani	MK330953	7270	-N/A-	7/1/2018	Boar	wild boar hybrid	China	genomic RNA
HEPAC-95	Paslahepevirus balayani	MF444033	7283	-N/A-	10/7/2008	Human	Homo sapiens	France	genomic RNA
HEPAC-12	Paslahepevirus balayani	MF444086	7220	-N/A-	8/11/2011	Human	Homo sapiens	France	genomic RNA
HEV0069_serum	Paslahepevirus balayani	MN614140	7190	-N/A-	Aug-10	Human	Homo sapiens	Netherlands	genomic RNA
common vole/KS_11_700/GER/2010	Paslahepevirus balayani	MK192407	7091	-N/A-	2010	Vole	Microtus arvalis	Germany	genomic RNA
common vole/KS_11_819/CZE/2010	Paslahepevirus balayani	MK192409	7085	-N/A-	2010	Vole	Microtus arvalis	Czech Republic	genomic RNA
VIC-G1	Paslahepevirus balayani	MN401238	7138	-N/A-	10/8/2013	Human	Homo sapiens	France	genomic RNA
UNKNOWN-LY647099	Paslahepevirus balayani	LY647099	7300	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA
HRC-HE15	Paslahepevirus balayani	LC387631	7253	-N/A-	Sep-04	Human	Homo sapiens	Japan	genomic RNA
HEPAC-12	Paslahepevirus balayani	MN646690	7342	-N/A-	2011	Human	Homo sapiens	France	genomic RNA
HEPAC-93	Paslahepevirus balayani	MN646692	7315	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
HEPAC-26	Paslahepevirus balayani	MN646694	7291	-N/A-	2013	Human	Homo sapiens	France	genomic RNA
JKO-ChiSai98C	Paslahepevirus balayani	AB197673	7257	-N/A-	-N/A-	Human	Homo sapiens	China	genomic RNA
UNKNOWN-MD194687	Paslahepevirus balayani	MD194687	7256	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA
wbJGF_19-1	Paslahepevirus balayani	LC545471	7269	-N/A-	1/4/2019	Swine	Sus scrofa leucomystax	Japan	genomic RNA
Charite407/DEU/2012	Paslahepevirus balayani	MN735217	7223	-N/A-	2012	Human	Homo sapiens	Germany	genomic RNA
Charite452/DEU/2013	Paslahepevirus balayani	MN735215	7215	-N/A-	2013	Human	Homo sapiens	Germany	genomic RNA
ME-2016-rab52	Paslahepevirus balayani	KY436898	7276	-N/A-	2016	Rabbit	Oryctolagus cuniculus	Germany	genomic RNA
HEV/Pig/GHS02/2011	Paslahepevirus balayani	MN714358	7240	-N/A-	2011	-N/A-	Sus scrofa domesticus	Ghana	genomic RNA
12XJ	Paslahepevirus balayani	KX387865	7223	-N/A-	-N/A-	Camel	Camelus bactrianus	China	genomic RNA
CHN-BJ-r4	Paslahepevirus balayani	MT364355	7308	-N/A-	11/24/2019	Rabbit	rabbit	China	genomic RNA
mexican	Paslahepevirus balayani	M74506	7180	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
F20	Paslahepevirus balayani	MN614430	7239	-N/A-	1/25/2019	Swine	swine	South Korea	genomic RNA
2018.AZ.6050.8.2	Paslahepevirus balayani	MT840359	7211	-N/A-	2018	Boar	wild boar	Italy	genomic RNA
RMKM15	Paslahepevirus balayani	LC428039	7244	-N/A-	1/10/2018	Unknown	-N/A-	China	genomic RNA
TS1372	Paslahepevirus balayani	LC436449	7240	-N/A-	10/15/2015	Swine	Sus scrofa six-month-old	Taiwan	genomic RNA
TS1380	Paslahepevirus balayani	LC436450	7238	-N/A-	10/15/2015	Swine	Sus scrofa six-month-old	Taiwan	genomic RNA
HESQL049	Paslahepevirus balayani	MW355217	7233	-N/A-	3/13/2019	Unknown	-N/A-	France	genomic RNA
HESQL138	Paslahepevirus balayani	MW355218	7164	-N/A-	8/17/2017	Unknown	-N/A-	France	genomic RNA
HESQL046	Paslahepevirus balayani	MW355219	7323	-N/A-	3/5/2019	Unknown	-N/A-	France	genomic RNA
HESQL145	Paslahepevirus balayani	MW355220	7190	-N/A-	11/15/2017	Unknown	-N/A-	France	genomic RNA
HESQL044	Paslahepevirus balayani	MW355221	7208	-N/A-	2/14/2019	Unknown	-N/A-	France	genomic RNA
HESQL076	Paslahepevirus balayani	MW355222	7237	-N/A-	8/12/2018	Unknown	-N/A-	France	genomic RNA
